Timeframe,Side,Ticker,Name,Market,Rating,Score,Entry,Target 1,Target 2,Stop Loss,Reason
Short (1d–1mo),Buy,AIR.PA,AIR.PA,CAC 40,Buy,72,195.94,207.7,215.53,190.06,Buy @ 195.28 · TP1 208.17 (+6.6%) · TP2 221.06 (+13.2%) · SL 188.12 (−3.7%) · R:R 1.8x | SD channel: near lower band; At MA20 support; RSI(2) 8.8 washed out
Short (1d–1mo),Buy,HSX.L,HSX.L,FTSE 100,Buy,72,1856,1967.36,2041.6,1800.32,Buy @ 1850 · TP1 1961 (+6.0%) · TP2 2072 (+12.0%) · SL 1794.5 (−3.0%) · R:R 2.0x | SD channel: near lower band; At MA20 support; Supertrend short bullish
Short (1d–1mo),Buy,PKG,PKG,US (S&P 500 / NASDAQ 100),Buy,72,225.76,239.31,248.34,218.99,Buy @ 225.76 · TP1 241.81 (+7.1%) · TP2 257.86 (+14.2%) · SL 216.84 (−4.0%) · R:R 1.8x | At MA50 support; Stochastic 13.9 oversold; MACD turning up
Medium (1–3mo),Buy,NESTLEIND.NS,NESTLEIND.NS,Nifty 50,Strong Buy,88,1428.5,1642.77,1757.06,1314.22,Buy @ 1427 · TP1 1641.05 (+15.0%) · TP2 1855.1 (+30.0%) · SL 1312.84 (−8.0%) · R:R 1.9x | MA200 bull regime + Golden Cross; Weekly uptrend confirmed; SD channel pullback in uptrend; OBV institutional accumulation
Medium (1–3mo),Buy,PM,PM,US (S&P 500 / NASDAQ 100),Strong Buy,88,175.95,202.34,216.42,161.87,Buy @ 175.95 · TP1 211.62 (+20.3%) · TP2 247.29 (+40.5%) · SL 156.67 (−11.0%) · R:R 1.9x | Piotroski 7/9 ✓; MA200 bull regime + Golden Cross; Weekly uptrend confirmed; SD channel pullback in uptrend
Medium (1–3mo),Buy,6963.T,6963.T,Nikkei 225,Buy,72,5244,6030.6,6450.12,4824.48,Buy @ 5208 · TP1 7998.85 (+53.6%) · TP2 10789.7 (+107.2%) · SL 3699.43 (−29.0%) · R:R 1.8x | MA200 bull regime + Golden Cross; Weekly uptrend confirmed; Supertrend medium bullish
Medium (1–3mo),Buy,2730.T,2730.T,Nikkei 225,Buy,72,2362,2716.3,2905.26,2173.04,Buy @ 2370 · TP1 2753.75 (+16.2%) · TP2 3137.5 (+32.4%) · SL 2162.57 (−8.8%) · R:R 1.9x | Piotroski 7/9 ✓; MA200 bull regime + Golden Cross; Weekly uptrend confirmed; ADX 36.6 — strong trending regime
Medium (1–3mo),Buy,6273.T,6273.T,Nikkei 225,Buy,72,74650,85847.5,91819.5,68678,Buy @ 72660 · TP1 96519.71 (+32.8%) · TP2 120379.42 (+65.7%) · SL 59762.86 (−17.7%) · R:R 1.9x | MA200 bull regime + Golden Cross; Weekly uptrend confirmed; Supertrend medium bullish
Long (4–12mo),Buy,RMD,RMD,US (S&P 500 / NASDAQ 100),Strong Buy,88,193.01,250.91,279.86,162.13,Buy @ 193.01 · TP1 283.94 (+47.1%) · TP2 374.87 (+94.2%) · SL 143.86 (−25.5%) · R:R 1.9x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; Supertrend long Strong Sell (fresh bear flip); Bear regime: below MA200+Death Cross
Long (4–12mo),Buy,WAT,WAT,US (S&P 500 / NASDAQ 100),Buy,66,376.39,489.31,545.77,316.17,Buy @ 376.39 · TP1 501.93 (+33.4%) · TP2 627.47 (+66.7%) · SL 308.53 (−18.0%) · R:R 1.8x | SEPA: full MA alignment+rising; Leader: near 52W high; Weekly uptrend; Supertrend long bullish
Short (1d–1mo),Sell,KER.PA,KER.PA,CAC 40,Sell,66,244.25,229.59,219.83,251.58,Sell @ 250.35 · TP1 226.27 (−9.6%) · TP2 202.19 (−19.2%) · SL 263.73 (+5.3%) · R:R 1.8x | Strict short: below MA200 + ST bear + distribution; SD channel: above upper band (extended); At resistance $254.55; Supertrend short bearish
Medium (1–3mo),Sell,IMB.L,IMB.L,FTSE 100,Sell,77,2672,2271.2,2057.44,2885.76,Sell @ 2679 · TP1 2060.01 (−23.1%) · TP2 1441.02 (−46.2%) · SL 3013.59 (+12.5%) · R:R 1.8x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; BEAR BREAKDOWN: MA200+DC+weekly down; Weekly downtrend
Medium (1–3mo),Sell,1209.HK,1209.HK,Hang Seng,Sell,77,38.74,32.93,29.83,41.84,Sell @ 38.08 · TP1 27.65 (−27.4%) · TP2 17.22 (−54.8%) · SL 43.72 (+14.8%) · R:R 1.8x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; BEAR BREAKDOWN: MA200+DC+weekly down; Weekly downtrend
Medium (1–3mo),Sell,HCA,HCA,US (S&P 500 / NASDAQ 100),Sell,77,363.6,309.06,279.97,392.69,Sell @ 363.6 · TP1 265.85 (−26.9%) · TP2 168.1 (−53.8%) · SL 416.44 (+14.5%) · R:R 1.8x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; BEAR BREAKDOWN: MA200+DC+weekly down; Weekly downtrend
Medium (1–3mo),Sell,COST,COST,US (S&P 500 / NASDAQ 100),Sell,77,921.75,783.49,709.75,995.49,Sell @ 921.75 · TP1 773.88 (−16.0%) · TP2 626.01 (−32.1%) · SL 1001.68 (+8.7%) · R:R 1.8x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; Below MA200 — bear regime; Weekly downtrend
Medium (1–3mo),Sell,HSY,HSY,US (S&P 500 / NASDAQ 100),Sell,77,171.46,145.74,132.02,185.18,Sell @ 171.46 · TP1 135.31 (−21.1%) · TP2 99.16 (−42.2%) · SL 191 (+11.4%) · R:R 1.9x | Piotroski 8/9 ✓; Strict short: below MA200 + ST bear + distribution; BEAR BREAKDOWN: MA200+DC+weekly down; Weekly downtrend
Long (4–12mo),Sell,1803.T,1803.T,Nikkei 225,Strong Sell,88,2514,1759.8,1382.7,2916.24,Sell @ 2444 · TP1 1485.87 (−39.2%) · TP2 527.74 (−78.4%) · SL 2961.91 (+21.2%) · R:R 1.8x | Strict short: below MA200 + ST bear + distribution; Bear regime: below MA200+Death Cross; Weekly downtrend; Supertrend long bearish
Long (4–12mo),Sell,HINDUNILVR.NS,HINDUNILVR.NS,Nifty 50,Sell,78,2116.9,1481.83,1164.3,2455.6,Sell @ 2120.2 · TP1 1484.14 (−30.0%) · TP2 848.08 (−60.0%) · SL 2459.43 (+16.0%) · R:R 1.9x | Strict short: below MA200 + ST bear + distribution; Bear regime: below MA200+Death Cross; Supertrend long bearish; Pio 3/9 weak
Long (4–12mo),Sell,ISRG,ISRG,US (S&P 500 / NASDAQ 100),Sell,77,379.5,265.65,208.73,440.22,Sell @ 379.5 · TP1 207.51 (−45.3%) · TP2 35.52 (−90.6%) · SL 472.47 (+24.5%) · R:R 1.8x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; Bear regime: below MA200+Death Cross; Weekly downtrend
Long (4–12mo),Sell,ALNY,ALNY,US (S&P 500 / NASDAQ 100),Sell,77,281.26,196.88,154.69,326.26,Sell @ 281.26 · TP1 82.53 (−70.7%) · SL 388.68 (+38.2%) · R:R 1.9x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; Bear regime: below MA200+Death Cross; Weekly downtrend
Long (4–12mo),Sell,CRH,CRH,US (S&P 500 / NASDAQ 100),Sell,77,103.91,72.74,57.15,120.54,Sell @ 103.91 · TP1 62.21 (−40.1%) · TP2 20.51 (−80.3%) · SL 126.45 (+21.7%) · R:R 1.9x | Piotroski 7/9 ✓; Strict short: below MA200 + ST bear + distribution; Bear regime: below MA200+Death Cross; Distribution pattern
